Zip,Country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source,"Statcan Census Division id","Statcan Census Division Name","Statcan Census Division Type","Statcan Census Division Type Description","Statcan Census Consolidated Subdivision id","Statcan Census Consolidated Subdivision Name","Statcan Census Subdivision id","Statcan Census Subdivision Name","Statcan Census Subdivision Type","Statcan Census Subdivision Type Description","Statcan Census Economic Region","Statcan Census Statistical Area Code","Statcan Census Statistical Area Code Description","Statcan Census Statistical Area Type","Statcan Census Statistical Area Type Description","Statcan Census CMA/CA id","Statcan Census CMA/CA Name","Statcan Census CMA/CA Type","Statcan Census CMA/CA Type Description","Statcan Census Tract","Statcan Census Year"
"N8X 2R2",Canada,42.30423,-83.029861,0.8,place,,,Windsor,ON,,N8X,CA,"CanVec+ by Natural Resources Canada",3537,Essex,CTY,County,3537039,Windsor,3537039,Windsor,CY,City,Windsor--Sarnia,559,"CMA or CA",1,"Census subdivision within census metropolitan area",559,Windsor,B,"Census metropolitan area (CMA)",5590026.00,2016
"V7M 2W7",Canada,49.320713,-123.073783,0.8,place,,,"North Vancouver",BC,,V7M,CA,"CanVec+ by Natural Resources Canada",5915,"Greater Vancouver",RD,"Regional district",5915020,"Greater Vancouver A",5915051,"North Vancouver",CY,City,"Lower Mainland--Southwest / Lower Mainland--Sud-ouest",933,"CMA or CA",1,"Census subdivision within census metropolitan area",933,Vancouver,B,"Census metropolitan area (CMA)",9330101.04,2016
"N9E 1A4",Canada,42.2652,-83.0314,0.23,place,,,Windsor,ON,,N9E,CA,"CanVec+ by Natural Resources Canada",3537,Essex,CTY,County,3537039,Windsor,3537039,Windsor,CY,City,Windsor--Sarnia,559,"CMA or CA",1,"Census subdivision within census metropolitan area",559,Windsor,B,"Census metropolitan area (CMA)",5590005.00,2016
"T2N 1M6",Canada,51.0621,-114.1159,0.7,place,,,Calgary,AB,,T2N,CA,"CanVec+ by Natural Resources Canada",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250055.00,2016
"N6A 1B9",Canada,42.988576,-81.246643,0.8,place,,,London,ON,,N6A,CA,"CanVec+ by Natural Resources Canada",3539,Middlesex,CTY,County,3539036,London,3539036,London,CY,City,London,555,"CMA or CA",1,"Census subdivision within census metropolitan area",555,London,B,"Census metropolitan area (CMA)",5550022.00,2016
L5N3B2,Canada,43.5924,-79.7611,0.7,place,,,Mississauga,ON,,L5N,CA,"CanVec+ by Natural Resources Canada",3521,Peel,RM,"Regional municipality",3521010,Brampton,3521005,Mississauga,CY,City,Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350516.03,2016
"J4T 2V8",Canada,45.4973,-73.4676,0.7,place,,,Saint-Hubert,QC,,J4T,CA,"CanVec+ by Natural Resources Canada",2458,Longueuil,TÉ,"Territoire équivalent",2458227,Longueuil,2458227,Longueuil,V,Ville,Montérégie,462,"CMA or CA",1,"Census subdivision within census metropolitan area",462,Montréal,B,"Census metropolitan area (CMA)",4620868.02,2016
"N2L 3X5",Canada,43.466874,-80.524635,0.8,place,,,Waterloo,ON,,N2L,CA,"CanVec+ by Natural Resources Canada",3530,Waterloo,RM,"Regional municipality",3530013,Kitchener,3530016,Waterloo,CY,City,Kitchener--Waterloo--Barrie,541,"CMA or CA",1,"Census subdivision within census metropolitan area",541,"Kitchener - Cambridge - Waterloo",B,"Census metropolitan area (CMA)",5410102.00,2016
"M1B 3G5",Canada,43.8113,-79.193,0.7,place,,,Scarborough,ON,,M1B,CA,"CanVec+ by Natural Resources Canada",3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350378.28,2016
"N8H 5C7",Canada,42.051842,-82.599335,0.8,place,,,Leamington,ON,,N8H,CA,"CanVec+ by Natural Resources Canada",3537,Essex,CTY,County,3537003,Leamington,3537003,Leamington,MU,Municipality,Windsor--Sarnia,557,"CMA or CA",3,"Census subdivision within census agglomeration having no census tracts",557,Leamington,D,"Census agglomeration (CA) that is not tracted",,2016
