Team Number,Country,State,City,Postal Code,State Code,fips
1,USA,Michigan,Pontiac,48340,MI,c26125
4,USA,California,Van Nuys,91406,CA,c06037
8,USA,California,Palo Alto,94301,CA,c06085
11,USA,New Jersey,Flanders,07836,NJ,c34027
16,USA,Arkansas,Mountain Home,72653,AR,"c05005,c05089"
20,USA,New York,Clifton Park,12065,NY,"c36001,c36091"
21,USA,Florida,Titusville,32796,FL,c12009
23,USA,Massachusetts,Plymouth,02360,MA,"c25001,c25023"
25,USA,New Jersey,North Brunswick,08902,NJ,c34023
27,USA,Michigan,Clarkston,48346,MI,c26125
28,USA,New York,Sag Harbor,11963,NY,c36103
31,USA,Oklahoma,Jenks,74037,OK,c40143
33,USA,Michigan,Auburn Hills,48326,MI,c26125
34,USA,Alabama,Athens,35611,AL,c01083
41,USA,New Jersey,Warren,07059,NJ,c34035
45,USA,Indiana,Kokomo,46902,IN,"c18067,c18159"
48,USA,Ohio,Warren,44483,OH,c39155
51,USA,Michigan,Pontiac,48342,MI,c26125
56,USA,New Jersey,Bound Brook,08805,NJ,"c34023,c34035"
58,USA,Maine,South Portland,04106,ME,c23005
59,USA,Florida,Miami,33165,FL,c12086
60,USA,Arizona,Kingman,86401,AZ,c04015
61,USA,Massachusetts,Upton,01568,MA,c25027
63,USA,Pennsylvania,Erie,16506,PA,c42049
66,USA,Michigan,Ypsilanti,48197,MI,c26161
67,USA,Michigan,Highland,48357,MI,c26125
68,USA,Michigan,Ortonville,48462,MI,"c26049,c26087,c26125"
69,USA,Massachusetts,Quincy,02169,MA,c25021
70,USA,Michigan,Goodrich,48438,MI,"c26049,c26087"
71,USA,Indiana,Hammond,46320,IN,c18089
74,USA,Michigan,Holland,49423,MI,"c26005,c26139"
75,USA,New Jersey,Hillsborough,08844,NJ,c34035
78,USA,Rhode Island,Newport,02841,RI,c44005
79,USA,Florida,Tarpon Springs ,34688,FL,c12103
81,USA,Illinois,Freeport,61032,IL,c17177
85,USA,Michigan,Zeeland,49464,MI,"c26005,c26139"
86,USA,Florida,Jacksonville,32204,FL,c12031
87,USA,New Jersey,Mount Holly,08060,NJ,c34005
88,USA,Massachusetts,Bridgewater,02324,MA,"c25005,c25023"
93,USA,Wisconsin,Appleton,54915,WI,"c55015,c55087,c55139"
94,USA,Michigan,Southfield,48033,MI,c26125
95,USA,Vermont,White River Junction,05001,VT,c50027
97,USA,Massachusetts,Cambridge,02138,MA,c25017
100,USA,California,Woodside,94062,CA,c06081
101,USA,Illinois,Chicago,60634,IL,c17031
102,USA,New Jersey,Somerville,08876,NJ,"c34019,c34035"
103,USA,Pennsylvania,Kintnersville,18930,PA,c42017
107,USA,Michigan,Holland,49423,MI,"c26005,c26139"
108,USA,Florida,Fort Lauderdale,33311,FL,c12011
111,USA,Illinois,Arlington Heights,60005,IL,c17031
114,USA,California,Los Altos,94022,CA,c06085
115,USA,California,Cupertino,95014,CA,c06085
116,USA,Virginia,Herndon,20170,VA,c51059
117,USA,Pennsylvania,Pittsburgh,15217,PA,c42003
118,USA,Texas,League City,77573,TX,c48167
120,USA,Ohio,Cleveland,44115,OH,c39035
121,USA,Rhode Island,Middletown,02842,RI,c44005
122,USA,Virginia,Hampton,23666,VA,"c51650,c51700"
123,USA,Michigan,Hamtramck,48212,MI,c26163
125,USA,Massachusetts,Boston,02115,MA,c25025
126,USA,Massachusetts,Clinton,01510,MA,c25027
128,USA,Ohio,Grandview Heights,43212,OH,c39049
131,USA,New Hampshire,Manchester,03104,NH,"c33011,c33013,c33015"
133,USA,Maine,Standish,04084,ME,"c23005,c23031"
135,USA,Indiana,Mishawaka,46545,IN,c18141
136,USA,New Jersey,Plainfield,07060,NJ,"c34035,c34039"
138,USA,New Hampshire,Amherst,03031,NH,c33011
141,USA,Michigan,Holland,49424,MI,c26139
144,USA,Ohio,Cincinnati,45251,OH,c39061
145,USA,New York,Norwich,13815,NY,c36017
148,USA,Texas,Greenville,75402,TX,c48231
151,USA,New Hampshire,Nashua,03062,NH,c33011
155,USA,Connecticut,Berlin,06037,CT,"c09003,c09009"
156,USA,Pennsylvania,Fairview,16415,PA,c42049
157,USA,Massachusetts,Marlborough,01752,MA,c25017
159,USA,Colorado,Fort Collins,80521,CO,c08069
166,USA,New Hampshire,Merrimack,03054,NH,c33011
167,USA,Iowa,Iowa City,52246,IA,c19103
171,USA,Wisconsin,Platteville,53818,WI,"c55043,c55049,c55065"
172,USA,Maine,Falmouth/Gorham,04038,ME,"c23005,c23031"
173,USA,Connecticut,Tolland,06084,CT,c09013
175,USA,Connecticut,Enfield,06082,CT,c09003
176,USA,Connecticut,Windsor Locks,06096,CT,c09003
177,USA,Connecticut,South Windsor,06074,CT,"c09003,c09013"
178,USA,Connecticut,Farmington,06032,CT,c09003
179,USA,Florida,Riviera Beach,33404,FL,c12099
180,USA,Florida,Stuart,34997,FL,c12085
181,USA,Connecticut,Hartford,06106,CT,c09003
190,USA,Massachusetts,Worcester,01609,MA,c25027
191,USA,New York,Rochester,14605,NY,c36055
192,USA,California,Palo Alto,94306,CA,c06085
193,USA,New Jersey,Flanders,07836,NJ,c34027
195,USA,Connecticut,Southington,06489,CT,"c09003,c09009"
199,USA,California,Belmont,94002,CA,c06081
201,USA,Michigan,Rochester,48307,MI,c26125
203,USA,New Jersey,Sicklerville,08081,NJ,"c34007,c34015"
