County,Teams
c39167,"7515"
c49007,"6844"
c46013,"3300"
c51710,"1793"
c29107,"2457"
c55009,"1716,6318"
c55005,"2143"
c55007,"3267,4656"
c55001,"7915"
c12059,"2556,5722"
c55003,"6345,7638"
c39109,"3138,5811,6032,7434"
c47007,"4924,5005,5058,6937"
c47005,"3843,6157"
c47003,"547"
c47001,"4265,4576,4630"
c29103,"4809"
c53071,"4125,6442"
c47009,"4504,6517"
c18125,"4008"
c18127,"2171,3936"
c18121,"5188"
c20173,"935"
c18123,"3559"
c18129,"7454,7657"
c48239,"3834"
c48235,"3366"
c48237,"7303"
c36121,"340"
c48231,"148,7708"
c36123,"1551,3003,6490"
c48233,"4694"
c29067,"16,323"
c20179,"3172"
c55139,"93,2826,7915"
c12055,"1065,7450"
c08089,"662,2945,2996,4068"
c55131,"269,706,1091,3197,5096"
c55133,"269,537,706,930,1259,2062,2077,2202,2506,5096,5148,5976,6223,6421"
c08083,"1332,4944"
c08081,"7485"
c54009,"4467,4991,7670"
c05069,"7263,7878"
c05067,"6055,7075"
c05065,"6055"
c05063,"6055,7075"
c05061,"6840"
c13239,"5848"
c13231,"3344"
c13233,"4195"
c13235,"3635"
c13237,"5132"
c48309,"2950,7511"
c48301,"4301"
c48303,"1817,4717,4734,5866,5888,6993"
c48305,"1817,4717,4734,5866,5888,6993"
c48307,"647"
c54053,"3492"
c42045,"484,486,709,1391,1712,2095,2234,4575,6327,6667"
c48491,"2158,2583,3743,5052,6321,6377,6800"
c48493,"3679,5103,7264"
c48495,"4301"
c48497,"7303"
c48499,"3037"
c13305,"3329"
c20069,"935"
c13307,"5840,6919"
c13301,"7676"
c13303,"7676"
c20063,"3172"
c20061,"5968"
c20067,"4694"
c13309,"6139"
c20065,"3172"
c48015,"624,4639,5427"
c49019,"1332,4944"
c48017,"7573"
c54061,"2614"
c48013,"7088"
c17059,"7454,7657"
c49011,"3239,7905"
c49017,"2486,7897"
c48019,"6935"
c49015,"3289,3405,5071,6844"
c46085,"4593"
c05117,"7804"
c05115,"5437"
c05113,"5437"
c05111,"7430,7467"
c05119,"6131,6640,7767,7804"
c17201,"1625,2039,3352,4655"
c13011,"4189,5132,6910"
c17203,"4143,5442"
c13013,"5132,6910"
c13015,"4195,6341,7449"
c13017,"7499"
c06011,"1678,5458,6174"
c13019,"7499"
c42059,"2614"
c42041,"4050"
c48161,"2805,4641"
c48163,"3561"
c48165,"5783"
c48167,"118"
c46087,"3298"
c17029,"4096"
c17021,"4156,4314"
c17023,"5188"
c17025,"4187"
c17027,"7496"
c06009,"3189"
c39009,"7515"
c38023,"877"
c39003,"3777"
c06003,"3189"
c06005,"3189"
c06007,"4643"
c35061,"7540"
c19167,"3298"
c20085,"5968"
c12129,"6145"
c20081,"4694"
c46081,"4593"
c20083,"3172"
c28099,"590"
c12123,"6145"
c28097,"590"
c12121,"3556"
c28095,"590"
c12127,"2152"
c28093,"5002"
c12125,"3556"
c28091,"2190"
c17155,"6237"
c26033,"1596,4392,4988,5072,5706,5709,5714"
c17157,"5060"
c26031,"3537,3618,5314,5534,6573,7171"
c17151,"6157"
c26037,"5234,5704,7166,7195,7289,7665"
c17153,"4356,7255"
c26035,"6533,6642,7109,7213,7794"
c26039,"6074,6121"
c17159,"7454"
c39175,"5413"
c36041,"5030"
c22029,"7836"
c39171,"6181"
c22025,"7836"
c22027,"7899"
c22021,"3468,7834,7874,7914"
c22023,"3616,4336"
c56027,"5657"
c56025,"1303"
c21201,"7693"
c21203,"3844"
c47127,"547"
c21209,"2856"
c56029,"3374"
c12017,"4622,5842,6722"
c12015,"6743,7193"
c12013,"6145"
c16009,"7301"
c12011,"108,744,1251,2383,3653,4471,4592,5196,5410,5872,7026,7500"
c16005,"1569,3562,6680"
c16007,"2993"
c16001,"1891,2122,2594,5461,5871"
c12019,"6322"
c16003,"3712"
c40009,"2373"
c31109,"5906,6805"
c46083,"3298"
c40003,"6809"
c31103,"6359"
c40001,"2398,4005"
c31101,"4386"
c40007,"4694"
c31107,"3298"
c40005,"2352"
c31105,"4386"
c26149,"5204,5227,5501,6053,6137,6138"
c26147,"2604,3667,4779,4961,5046,5048,5167,5843,5860,5926,6085,6344,7247"
c26145,"703,4382,5166,5193,5215,5222,5229,5234,5235,5260,5524,5533,5538,5697,5712,5982,6067,6071,6073,6193,6597,6631,7491,7772,7784"
c26143,"6074,6552,7213"
c26141,"5230,5505,5534,6077,7084,7823"
c19069,"525,7411"
c46121,"4593"
