Team,# Counties
4961,2
5421,1
1706,5
3596,1
1891,3
3559,6
4003,1
2411,1
5276,1
2587,2
4255,1
2081,3
2797,2
6956,1
2377,2
34,8
1712,2
5538,1
4181,3
848,1
1308,2
6882,3
120,2
247,1
3096,1
1518,2
456,4
6305,2
74,2
5060,7
2457,11
5196,1
2075,1
3951,2
4776,1
7897,5
6222,4
5603,1
213,2
3889,2
509,1
7447,1
4829,4
5878,1
1759,1
1228,2
6029,1
7126,2
1339,1
93,8
7055,2
5730,8
2612,1
6685,1
3352,3
4068,12
5687,1
4292,1
5119,1
173,1
5295,2
2470,1
5949,1
1259,1
5085,2
28,1
6626,2
7737,2
7222,1
1102,2
7111,9
5804,1
1225,2
2165,4
5005,7
5215,2
4610,2
4638,1
6895,2
3624,1
244,2
6833,2
4329,5
7503,5
4480,1
7848,2
3556,8
4715,2
2054,1
6580,1
5986,1
3140,1
204,3
648,4
4348,5
1290,2
3547,1
4388,6
269,4
1318,1
7463,4
7521,5
6932,7
1750,4
701,1
7895,1
6904,1
7031,6
5070,2
6500,1
2785,1
5317,3
1984,1
7907,2
7318,2
5502,1
6057,1
3457,16
1559,2
2640,1
3100,2
991,2
78,3
5826,4
818,1
2890,2
1793,1
4780,2
4360,2
201,1
3322,1
5854,3
3473,1
2498,1
6707,3
5977,1
7534,3
5113,2
4598,1
3748,1
2551,4
3328,1
3131,1
2600,2
6340,4
6128,2
3072,6
334,1
4811,1
5971,3
3035,5
5567,3
3393,1
3196,5
2989,1
1991,1
5493,1
7827,4
4373,2
4075,1
7321,1
6346,1
5752,1
155,2
3847,2
5919,1
365,2
5413,6
7028,1
7472,2
7599,1
7068,2
6155,1
2489,1
5610,1
4737,1
63,1
2344,1
5712,2
5419,1
6692,1
5027,2
337,6
5274,1
6101,1
7531,2
1155,1
4213,2
180,1
7778,1
6055,5
6954,1
3255,1
2264,1
6337,1
624,7
677,3
1266,1
3267,2
862,1
442,1
4935,1
1038,4
2443,2
3110,1
7019,1
6488,2
2073,1
1528,1
7195,2
100,1
4173,1
7849,1
279,2
7417,7
1757,1
3187,2
7704,1
538,12
6754,7
7914,5
4611,2
3017,1
6138,1
7621,6
1908,2
5265,1
4290,1
60,2
7769,1
3863,1
6905,2
2872,1
5722,6
2468,1
4145,5
5503,6
4099,1
7220,1
433,1
5626,2
2641,2
4198,2
4127,2
5802,1
7541,6
5509,2
4361,1
20,3
7482,1
847,3
1538,1
4472,1
5710,2
4512,2
171,6
353,1
3218,1
3070,1
2601,1
554,6
1072,2
668,2
7155,2
122,4
1322,3
7109,2
3212,3
7553,1
2879,1
6381,1
1165,2
5049,4
2373,6
486,1
5074,4
2805,3
3965,1
1551,7
3545,1
4189,4
4414,1
4201,1
8090,1
6844,10
6662,1
7893,1
7473,1
5500,1
1785,1
2811,2
8044,2
3814,7
1640,1
3061,1
5926,1
3937,5
128,3
1288,5
2496,1
6569,1
2228,3
3570,2
7248,1
5414,2
4994,2
2725,1
1727,1
5229,1
7094,2
1307,1
6181,5
4405,1
4516,4
6921,3
6193,2
2987,1
3234,2
4664,1
5491,1
545,1
141,1
