Team,# Counties
4593,54
6359,51
3298,36
4386,34
4694,33
590,29
3366,29
568,27
3216,26
3172,23
7693,23
5002,23
877,21
7578,21
3844,20
6157,19
935,18
7309,17
4306,17
7255,16
7785,16
6805,16
5968,16
2856,16
3457,16
1332,15
4944,15
4085,15
7454,14
5492,14
6858,14
7516,14
2190,13
7540,13
5132,13
4809,13
3374,13
7515,13
3492,13
3037,13
538,12
4356,12
662,12
2945,12
2996,12
4068,12
6919,12
7499,12
5188,12
6419,12
3300,12
7573,12
5848,11
2556,11
6068,11
4153,11
6139,11
4941,11
7676,11
6889,11
525,11
7411,11
6809,11
5186,11
7525,11
3843,11
2457,11
1303,11
4265,11
4295,11
3939,11
3139,10
6145,10
6910,10
4701,10
7104,10
6715,10
4104,10
3616,10
4336,10
7836,10
5667,10
3954,10
2614,10
1817,10
4717,10
4734,10
5866,10
7708,10
6844,10
6802,10
7111,9
7446,9
4187,9
7657,9
6542,9
7484,9
7562,9
6817,9
7802,9
6639,9
4467,9
4991,9
2539,9
6846,9
7072,8
34,8
3959,8
16,8
323,8
5730,8
7908,8
4643,8
2083,8
3556,8
3329,8
5840,8
2594,8
6358,8
4061,8
5920,8
4156,8
4314,8
2783,8
1806,8
4182,8
7662,8
5783,8
3777,8
1014,8
2352,8
4462,8
3834,8
4364,8
4286,8
2988,8
7915,8
93,8
7899,7
5437,7
1799,7
3635,7
4924,7
5005,7
6937,7
6932,7
1569,7
7141,7
7496,7
7417,7
4232,7
5060,7
3814,7
3947,7
3821,7
4703,7
1551,7
6517,7
7670,7
4027,7
4576,7
547,7
624,7
4639,7
5427,7
6935,7
2966,7
3029,7
4332,7
5894,7
5960,7
6180,7
6664,7
6733,7
6754,7
6830,7
4192,7
4063,7
3289,7
5071,7
6318,7
5722,6
4188,6
6855,6
7878,6
6640,6
7483,6
1323,6
1422,6
159,6
1977,6
4388,6
4499,6
7485,6
3389,6
6341,6
7449,6
3344,6
4240,6
3712,6
1566,6
171,6
461,6
1747,6
4926,6
3559,6
6630,6
4260,6
2957,6
7541,6
6022,6
938,6
554,6
6103,6
1629,6
7474,6
3792,6
7117,6
7031,6
5254,6
5030,6
3822,6
3072,6
3984,6
7715,6
1610,6
876,6
5413,6
4121,6
2373,6
5930,6
4125,6
222,6
2559,6
342,6
3489,6
2582,6
5503,6
3743,6
3561,6
7621,6
324,6
3679,6
3802,6
2613,6
148,6
7440,6
3405,6
5546,6
5724,6
4466,6
401,6
2363,6
3274,6
337,6
1716,6
5903,6
6732,6
4179,5
5616,5
7428,5
3238,5
7897,5
3937,5
6055,5
3152,5
5198,5
6918,5
5480,5
1245,5
5420,5
6322,5
4193,5
4459,5
5900,5
3815,5
6944,5
5632,5
4730,5
5828,5
6471,5
7315,5
2993,5
3145,5
1288,5
1706,5
3330,5
4329,5
7435,5
4096,5
2338,5
4143,5
5442,5
6420,5
4982,5
7198,5
6498,5
5685,5
7209,5
5082,5
6302,5
3468,5
7834,5
7874,5
7914,5
6489,5
4041,5
836,5
6345,5
7638,5
2532,5
5290,5
3848,5
3277,5
5147,5
4522,5
4348,5
7649,5
3661,5
3196,5
3229,5
7048,5
4028,5
3484,5
7434,5
4283,5
6027,5
6834,5
6181,5
1317,5
3591,5
4145,5
4005,5
3163,5
753,5
3876,5
3062,5
4547,5
4083,5
6366,5
5022,5
7088,5
3035,5
6357,5
7872,5
7125,5
5411,5
6901,5
7503,5
8055,5
6315,5
7521,5
2950,5
7511,5
2523,5
1086,5
4980,5
2143,5
3581,4
7910,4
7430,4
7467,4
7106,4
7868,4
6586,4
7767,4
7798,4
7846,4
6619,4
3189,4
7057,4
2551,4
3257,4
1157,4
1584,4
1619,4
2036,4
2261,4
2972,4
7891,4
7479,4
4118,4
5145,4
3627,4
5753,4
6184,4
4189,4
832,4
4516,4
1795,4
4080,4
5074,4
5651,4
6340,4
6705,4
4965,4
6712,4
4509,4
3562,4
4175,4
2022,4
648,4
1018,4
3176,4
3180,4
292,4
2909,4
1501,4
3266,4
3928,4
5041,4
3055,4
1802,4
7064,4
2165,4
7744,4
5126,4
5997,4
456,4
7275,4
7288,4
7661,4
1421,4
2183,4
3039,4
4050,4
7213,4
5234,4
7827,4
6591,4
2207,4
3023,4
6912,4
3278,4
4539,4
5929,4
3134,4
3275,4
3754,4
4674,4
3122,4
6044,4
4663,4
2501,4
3691,4
3926,4
4506,4
5999,4
3839,4
4764,4
5045,4
7313,4
1927,4
3284,4
6424,4
987,4
988,4
3009,4
5049,4
5429,4
6519,4
6824,4
6825,4
6957,4
7077,4
7183,4
7422,4
7423,4
7424,4
7425,4
7426,4
7654,4
7880,4
1807,4
6300,4
7030,4
2642,4
3796,4
7815,4
3336,4
2059,4
4829,4
5190,4
5511,4
7463,4
6961,4
7443,4
5679,4
4291,4
2682,4
5973,4
1038,4
5418,4
2603,4
3465,4
1750,4
2656,4
1143,4
1293,4
1553,4
6167,4
6222,4
7406,4
6646,4
5103,4
7264,4
5212,4
4641,4
3310,4
3239,4
7905,4
619,4
3361,4
339,4
1262,4
3258,4
122,4
5957,4
7021,4
5586,4
5826,4
269,4
930,4
1726,3
6127,3
2486,3
698,3
2449,3
4111,3
6871,3
7766,3
6186,3
6840,3
1678,3
6174,3
5728,3
6814,3
6644,3
6884,3
751,3
8048,3
3729,3
4293,3
4418,3
1699,3
4622,3
5842,3
6722,3
7519,3
1065,3
7442,3
6887,3
1746,3
5608,3
7451,3
5219,3
6925,3
4026,3
5332,3
7470,3
1261,3
1683,3
1771,3
6829,3
7060,3
1891,3
2122,3
5461,3
5871,3
2130,3
3352,3
6651,3
1736,3
1756,3
2040,3
2081,3
3695,3
5847,3
2481,3
1208,3
4246,3
6317,3
1720,3
868,3
7617,3
3494,3
3940,3
4008,3
7502,3
1741,3
6451,3
5501,3
6092,3
7646,3
5576,3
4646,3
7142,3
5935,3
3723,3
3871,3
5013,3
1818,3
5965,3
5971,3
7412,3
2080,3
3930,3
4564,3
6172,3
5633,3
23,3
88,3
4176,3
78,3
121,3
5152,3
5161,3
6090,3
4376,3
7208,3
4408,3
5256,3
7203,3
7811,3
5166,3
6631,3
4398,3
5182,3
6588,3
3618,3
6533,3
7794,3
5704,3
7665,3
6121,3
5674,3
68,3
1322,3
5114,3
5524,3
5533,3
5641,3
7211,3
5257,3
5231,3
5982,3
6582,3
6548,3
7210,3
7911,3
7768,3
6102,3
7501,3
5227,3
3603,3
5086,3
6085,3
5567,3
3641,3
6100,3
6066,3
6615,3
2246,3
1918,3
4337,3
2503,3
3294,3
5913,3
4181,3
5690,3
6047,3
7797,3
3026,3
7530,3
3212,3
6628,3
3038,3
5464,3
6217,3
2861,3
3293,3
4166,3
5720,3
6707,3
5638,3
4656,3
5275,3
2509,3
7257,3
2175,3
3007,3
3206,3
1986,3
6886,3
3160,3
1729,3
131,3
204,3
5684,3
6921,3
1403,3
1089,3
5895,3
3142,3
6945,3
7271,3
20,3
7251,3
229,3
340,3
2228,3
6484,3
6729,3
5854,3
1598,3
6565,3
6240,3
4504,3
6936,3
2252,3
128,3
677,3
3324,3
4269,3
6916,3
6927,3
6964,3
5578,3
2341,3
6900,3
1209,3
847,3
957,3
2915,3
4662,3
6442,3
4049,3
5740,3
834,3
5317,3
5777,3
1051,3
4451,3
6928,3
4020,3
6219,3
2789,3
7750,3
2158,3
2583,3
5052,3
6321,3
6377,3
6800,3
118,3
2805,3
5908,3
1477,3
6547,3
7492,3
3355,3
3676,3
4206,3
6655,3
7121,3
7506,3
7534,3
7535,3
6933,3
6189,3
5279,3
977,3
6334,3
3373,3
540,3
6021,3
1895,3
6882,3
3268,3
3663,3
4089,3
3812,3
2926,3
6574,3
6421,3
6624,3
5096,3
3288,3
7512,2
5059,2
6656,2
3889,2
498,2
842,2
991,2
1165,2
1212,2
1290,2
1492,2
2375,2
2403,2
2478,2
2647,2
2662,2
2840,2
3019,2
3187,2
3577,2
3853,2
3944,2
4146,2
4496,2
4565,2
5465,2
6352,2
6372,2
6413,2
6479,2
6530,2
6674,2
6833,2
7547,2
7620,2
7703,2
60,2
5454,2
5568,2
5006,2
7702,2
6059,2
7419,2
5458,2
1671,2
3303,2
3495,2
3970,2
5134,2
5817,2
6305,2
6926,2
7663,2
6657,2
399,2
5869,2
6060,2
1138,2
4079,2
5107,2
7415,2
3953,2
4056,2
4161,2
4984,2
6821,2
8,2
114,2
115,2
192,2
254,2
256,2
299,2
581,2
604,2
649,2
668,2
670,2
846,2
971,2
972,2
1072,2
1351,2
1700,2
1868,2
1967,2
2135,2
2367,2
2473,2
2643,2
2813,2
2854,2
3256,2
3482,2
3501,2
4765,2
5027,2
6036,2
6238,2
6241,2
6822,2
6962,2
7308,2
7445,2
7528,2
3024,2
1583,2
2240,2
5763,2
7243,2
7737,2
1410,2
3648,2
3807,2
4550,2
1099,2
155,2
177,2
195,2
2170,2
3461,2
7153,2
3525,2
365,2
1370,2
6743,2
7193,2
1744,2
86,2
7774,2
1557,2
2797,2
4065,2
4024,2
6905,2
1102,2
5734,2
6716,2
7883,2
343,2
2443,2
3882,2
7724,2
6237,2
4213,2
